frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code
"1731512848.321098000",,,"60",,,,"0.026344000",,,,,,,,,,,,
"1731512848.321098000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.321098000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.321098000",,,"86",,,,"0.000000000",,,,,,,,,,,,
"1731512848.321098000",,,"70",,,,"0.000000000",,,,,,,,,,,,
"1731512848.369715000","172.16.123.188","20.189.173.28","66","62682,443",,"6","0.048617000","0x0002","52",,"4","0","0","True","64240","128",,,
"1731512848.373174000","20.189.173.28","172.16.123.188","66","443,62680",,"6","0.003459000","0x0012","52",,"2","0","1","True","65535","104",,,
"1731512848.373413000","172.16.123.188","20.189.173.28","54","62680,443",,"6","0.000239000","0x0010","40",,"2","1","1","True","66048","128",,,
"1731512848.374307000","172.16.123.188","20.189.173.28","1494","62680,443",,"6","0.000894000","0x0010","1480",,"2","1","1","True","66048","128",,,
"1731512848.374307000","172.16.123.188","20.189.173.28","515","62680,443",,"6","0.000000000","0x0018","501",,"2","1441","1","True","66048","128",,,
"1731512848.443478000",,,"60",,,,"0.069171000",,,,,,,,,,,,
"1731512848.507861000","23.201.47.168","172.16.123.188","241","80,62681",,"6","0.064383000","0x0019","227",,"3","1","112","True","64256","58","1",,
"1731512848.507953000","172.16.123.188","23.201.47.168","54","62681,80",,"6","0.000092000","0x0010","40",,"3","112","189","True","65280","128",,,
"1731512848.508002000","172.16.123.188","23.201.47.168","54","62681,80",,"6","0.000049000","0x0011","40",,"3","112","189","True","65280","128",,,
"1731512848.538653000",,,"60",,,,"0.030651000",,,,,,,,,,,,
"1731512848.538653000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.538653000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.538653000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.628346000","20.189.173.28","172.16.123.188","66","443,62682",,"6","0.089693000","0x0012","52",,"4","0","1","True","65535","103",,,
"1731512848.628464000","172.16.123.188","20.189.173.28","54","62682,443",,"6","0.000118000","0x0010","40",,"4","1","1","True","66048","128",,,
"1731512848.628704000",,,"60",,,,"0.000240000",,,,,,,,,,,,
"1731512848.629263000",,,"157",,"546,547",,"0.000559000",,,,,,,,,,,,
"1731512848.629275000","172.16.123.188","20.189.173.28","1494","62682,443",,"6","0.000012000","0x0010","1480",,"4","1","1","True","66048","128",,,
"1731512848.629275000","172.16.123.188","20.189.173.28","515","62682,443",,"6","0.000000000","0x0018","501",,"4","1441","1","True","66048","128",,,
"1731512848.634674000","20.189.173.28","172.16.123.188","60","443,62680",,"6","0.005399000","0x0010","40",,"2","1","1902","True","4194560","104",,,
"1731512848.635033000","20.189.173.28","172.16.123.188","153","443,62680",,"6","0.000359000","0x0018","139",,"2","1","1902","True","4194560","104",,,
"1731512848.636553000","172.16.123.188","20.189.173.28","801","62680,443",,"6","0.001520000","0x0018","787",,"2","1902","100","True","66048","128",,,
"1731512848.688588000","172.16.123.188","44.234.198.184","54","62679,443",,"6","0.052035000","0x0011","40",,"5","1","1","True","255","128",,,
"1731512848.688893000","172.16.123.188","34.139.124.58","54","62676,443",,"6","0.000305000","0x0011","40",,"6","1","1","True","258","128",,,
"1731512848.689086000","172.16.123.188","34.139.124.58","54","62678,443",,"6","0.000193000","0x0011","40",,"0","1","1","True","258","128",,,
"1731512848.689254000","172.16.123.188","44.234.198.184","54","62677,443",,"6","0.000168000","0x0011","40",,"1","1","1","True","252","128",,,
"1731512848.748657000",,,"60",,,,"0.059403000",,,,,,,,,,,,
"1731512848.748657000",,,"86",,,,"0.000000000",,,,,,,,,,,,
"1731512848.748657000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.816012000","172.16.123.188","23.201.47.168","54","62681,80",,"6","0.067355000","0x0011","40",,"3","112","189","True","65280","128","1",,
"1731512848.828655000","23.201.47.168","172.16.123.188","60","80,62681",,"6","0.012643000","0x0010","40",,"3","189","113","True","64256","58",,,
"1731512848.832858000",,,"60",,,,"0.004203000",,,,,,,,,,,,
"1731512848.832858000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.832858000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.832858000","172.16.122.221","172.16.127.255","110",,"137,137","17","0.000000000",,"96",,,,,"False",,"128",,,
"1731512848.832858000","172.16.122.221","172.16.127.255","110",,"137,137","17","0.000000000",,"96",,,,,"False",,"128",,,
"1731512848.832858000","172.16.122.221","172.16.127.255","110",,"137,137","17","0.000000000",,"96",,,,,"False",,"128",,,
"1731512848.889276000","20.189.173.28","172.16.123.188","60","443,62682",,"6","0.056418000","0x0010","40",,"4","1","1902","True","4194560","103",,,
"1731512848.889486000","20.189.173.28","172.16.123.188","153","443,62682",,"6","0.000210000","0x0018","139",,"4","1","1902","True","4194560","103",,,
"1731512848.890863000","172.16.123.188","20.189.173.28","801","62682,443",,"6","0.001377000","0x0018","787",,"4","1902","100","True","66048","128",,,
"1731512848.898140000","20.189.173.28","172.16.123.188","1514","443,62680",,"6","0.007277000","0x0010","1500",,"2","100","2649","True","4193792","104",,,
"1731512848.899624000","20.189.173.28","172.16.123.188","1514","443,62680",,"6","0.001484000","0x0010","1500",,"2","1560","2649","True","4193792","104",,,
"1731512848.899690000","172.16.123.188","20.189.173.28","54","62680,443",,"6","0.000066000","0x0010","40",,"2","2649","3020","True","66048","128",,,
"1731512848.901379000","20.189.173.28","172.16.123.188","1514","443,62680",,"6","0.001689000","0x0010","1500",,"2","3020","2649","True","4193792","104",,,
"1731512848.901994000","20.189.173.28","172.16.123.188","1514","443,62680",,"6","0.000615000","0x0010","1500",,"2","4480","2649","True","4193792","104",,,
"1731512848.902114000","172.16.123.188","20.189.173.28","54","62680,443",,"6","0.000120000","0x0010","40",,"2","2649","5940","True","66048","128",,,
"1731512848.903326000","20.189.173.28","172.16.123.188","609","443,62680",,"6","0.001212000","0x0018","595",,"2","5940","2649","True","4193792","104",,,
"1731512848.904964000","172.16.123.188","20.189.173.28","128","62680,443",,"6","0.001638000","0x0018","114",,"2","2649","6495","True","65536","128",,,
"1731512848.905339000","172.16.123.188","20.189.173.28","146","62680,443",,"6","0.000375000","0x0018","132",,"2","2723","6495","True","65536","128",,,
"1731512848.905620000","172.16.123.188","20.189.173.28","543","62680,443",,"6","0.000281000","0x0018","529",,"2","2815","6495","True","65536","128",,,
"1731512848.905710000","172.16.123.188","20.189.173.28","1494","62680,443",,"6","0.000090000","0x0010","1480",,"2","3304","6495","True","65536","128",,,
"1731512848.905710000","172.16.123.188","20.189.173.28","751","62680,443",,"6","0.000000000","0x0018","737",,"2","4744","6495","True","65536","128",,,
"1731512848.950503000",,,"60",,,,"0.044793000",,,,,,,,,,,,
"1731512848.950503000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.950503000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512848.950503000","172.16.120.118","224.0.0.251","87",,"5353,5353","17","0.000000000",,"73",,,,,"False",,"255",,,
"1731512848.950503000",,,"107",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512848.950503000","172.16.123.77","224.0.0.251","75",,"5353,5353","17","0.000000000",,"61",,,,,"False",,"1",,,
"1731512848.950503000",,,"95",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512848.950503000","172.16.123.77","224.0.0.251","76",,"5353,5353","17","0.000000000",,"62",,,,,"False",,"1",,,
"1731512848.950503000",,,"96",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512848.952531000","34.139.124.58","172.16.123.188","60","443,62676",,"6","0.002028000","0x0011","40",,"6","1","2","True","163","57",,,
"1731512848.952638000","172.16.123.188","34.139.124.58","54","62676,443",,"6","0.000107000","0x0010","40",,"6","2","2","True","258","128",,,
"1731512848.956808000","34.139.124.58","172.16.123.188","60","443,62678",,"6","0.004170000","0x0011","40",,"0","1","2","True","163","57",,,
